nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 299098 264362 34736 193096 6LVBQDK 75 75 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 105 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 103 103 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 103 103 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 103 103 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298986 298986 0 0 BINH 104 104 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 151 151 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 146 146 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 145 145 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 146 146 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 145 145 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 145 145 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 147 147 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 146 146 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 145 145 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 264346 264346 34645 0 FIBH 148 148 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 94 94 0 0 0 0 0 0 0 0 0
