nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
BAY 321270 800172 94305 1LVBQ 97 97 4539153 3257733 215875 431182366 901801673 65484 0 70032 129707722 1116736
BAY 321270 800172 94305 1LVBQ 97 97 4546920 3257506 212608 429303877 901691641 66159 0 70032 129707613 1115580
BAY 321270 800172 94305 1LVBQ 96 96 4547292 3256688 211407 428456179 901691978 65256 0 70032 129707720 1116205
BAY 321270 800172 94305 1LVBQ 99 99 4518749 3227077 219112 433011575 901692243 65361 295 70032 129708006 1115367
BAY 321270 800172 94305 1LVBQ 96 96 4541106 3256360 212435 430252527 901691875 66193 0 70032 129707698 1116663
BAY 321270 800172 94305 1LVBQ 97 97 4526050 3238087 213909 430974563 901691814 66455 306 70032 129707888 1115667
BAY 321270 800172 94305 1LVBQ 97 97 4548597 3256944 214343 430208446 901691712 65173 0 70032 129707657 1115203
BAY 321270 800172 94305 1LVBQ 97 97 4547077 3263405 213861 429541940 901691619 65200 0 70032 129707633 1114006
BAY 321270 800172 94305 2LVBQ 103 103 3567407 1775117 151558 454225731 1124894707 45400 0 70032 165674654 1313085
BAY 321270 800172 94305 2LVBQ 104 104 3571575 1775445 151339 457076020 1124884381 45760 0 70032 165671709 1312685
BAY 321270 800172 94305 2LVBQ 103 103 3568156 1781478 150467 454329378 1124900774 45470 0 70032 165675461 1313250
BAY 321270 800172 94305 2LVBQ 103 103 3575156 1782889 148921 451109660 1124928929 46604 0 70032 165680886 1313002
BAY 321270 800172 94305 2LVBQ 103 103 3574971 1777322 147663 451145572 1124893929 45635 0 70032 165673896 1311887
BAY 321270 800172 94305 2LVBQ 103 103 3572006 1775753 148718 454365337 1124899834 45662 0 70032 165675953 1312744
BAY 321270 800172 94305 2LVBQ 103 103 3579869 1778807 148454 452397687 1124925842 45534 0 70032 165679529 1318244
BAY 321270 800172 94305 2LVBQ 104 104 3578164 1787209 152386 455325657 1124927004 46391 0 70032 165680021 1313413
BAY 321270 800172 94305 2LVBQ 103 103 3579707 1780414 151039 454176269 1124893055 45717 0 70032 165674232 1313765
