nome n m c fila run l1 l2 llc cycles
COL 435666 1057066 137384 1LVBQ 189 8098317 7233738 363622 531889370
COL 435666 1057066 137384 1LVBQ 189 8098476 7250022 371531 531284783
COL 435666 1057066 137384 1LVBQ 189 8091602 7249595 367236 530760700
COL 435666 1057066 137384 1LVBQ 197 8093931 7228550 403570 549388705
COL 435666 1057066 137384 2LVBQ 164 4733393 2789470 208334 478162192
COL 435666 1057066 137384 2LVBQ 166 4693598 2786517 210429 481517556
COL 435666 1057066 137384 2LVBQ 166 4695840 2774596 211027 482028619
COL 435666 1057066 137384 2LVBQ 167 4694990 2782052 210662 484940136
COL 435666 1057066 137384 2LVBQ 164 4740242 2823513 212057 479092205
COL 435666 1057066 137384 2LVBQ 165 4732303 2803244 205740 479802372
COL 435666 1057066 137384 2LVBQ 166 4703013 2785560 210677 479581754
COL 435666 1057066 137384 2LVBQ 166 4698903 2760086 209077 480595807
COL 435666 1057066 137384 2LVBQ 165 4733127 2818373 209568 480303665
COL 435666 1057066 137384 2LVBQ 167 4707529 2805931 211872 483877237
COL 435666 1057066 137384 BINH 205 2816152 1941694 189935 603585550
COL 435666 1057066 137384 BINH 205 2811074 1966291 187147 603326666
COL 435666 1057066 137384 BINH 202 2831666 1941045 186461 597228334
COL 435666 1057066 137384 BINH 203 2866884 2003299 188308 601982190
COL 435666 1057066 137384 BINH 201 2878822 1995064 185563 595500479
COL 435666 1057066 137384 BINH 204 2866000 2004673 187426 604521319
COL 435666 1057066 137384 BINH 204 2871620 2016378 190575 601987319
COL 435666 1057066 137384 BINH 205 2858636 2025759 188385 604081618
COL 435666 1057066 137384 BINH 204 2863286 2015013 188310 601491748
COL 435666 1057066 137384 BINH 206 2883571 2022326 187456 607921090
COL 435666 1057066 137384 4AH 195 2860426 1992944 185014 577168032
COL 435666 1057066 137384 4AH 195 2861015 1989421 185043 576680746
COL 435666 1057066 137384 4AH 198 2891009 2031611 186855 585349753
COL 435666 1057066 137384 4AH 199 2876376 2041446 183144 585386268
COL 435666 1057066 137384 4AH 198 2871680 2038421 185707 584470283
COL 435666 1057066 137384 4AH 198 2878876 2040741 187540 584542085
COL 435666 1057066 137384 4AH 199 2877874 2041304 184748 586177244
COL 435666 1057066 137384 4AH 198 2875109 2037449 184542 586011798
COL 435666 1057066 137384 4AH 198 2862627 2016309 188752 585423840
COL 435666 1057066 137384 4AH 194 2864873 1981205 185603 574381584
COL 435666 1057066 137384 RH 350 3036941 2034379 190970 1044903529
COL 435666 1057066 137384 RH 349 3035430 2035998 191699 1041952099
COL 435666 1057066 137384 RH 350 3039164 2039916 193458 1043354526
COL 435666 1057066 137384 RH 351 3027761 2025120 191133 1045074870
COL 435666 1057066 137384 RH 351 3041451 2047133 193270 1048250113
COL 435666 1057066 137384 RH 348 3032318 2020718 189021 1039630398
COL 435666 1057066 137384 RH 350 3030076 2026547 190749 1042935587
COL 435666 1057066 137384 RH 350 3032309 2022081 188703 1043728109
COL 435666 1057066 137384 RH 350 3030386 2026875 192710 1042715218
COL 435666 1057066 137384 RH 352 3042180 2041219 190662 1050542029
COL 435666 1057066 137384 FIB 420 2785955 1945156 193824 1255850003
COL 435666 1057066 137384 FIB 420 2786095 1946096 194423 1255632521
COL 435666 1057066 137384 FIB 421 2784039 1942598 194423 1258323414
COL 435666 1057066 137384 FIB 419 2783287 1943470 197121 1251379237
COL 435666 1057066 137384 FIB 420 2784123 1947154 195896 1255132430
COL 435666 1057066 137384 FIB 420 2782599 1943506 195086 1255169660
COL 435666 1057066 137384 FIB 419 2786005 1946729 196494 1252362310
COL 435666 1057066 137384 FIB 420 2786685 1951010 193794 1254339004
COL 435666 1057066 137384 FIB 418 2791544 1951193 193719 1248608791
COL 435666 1057066 137384 FIB 418 2779720 1943560 195152 1249064872
FLA 1070376 2712798 214013 1LVBQ 447 17388671 14118702 824750 1256024867
FLA 1070376 2712798 214013 1LVBQ 445 17459448 14218329 831111 1253200712
FLA 1070376 2712798 214013 1LVBQ 445 17464013 14176558 827244 1254408924
FLA 1070376 2712798 214013 1LVBQ 445 17462947 14204335 832240 1255533800
FLA 1070376 2712798 214013 1LVBQ 443 17471686 14259776 813647 1251222970
