nome n m c fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
GEN6 100000 500000 1999996 3LVBQDK 42 42 2894254 4010378 140888 179168386 296158650 133335 0 31000906 337016
GEN6 100000 500000 1999996 3LVBQDK 39 39 2901888 4036109 114201 170819412 296158409 128950 0 31000869 335680
GEN6 100000 500000 1999996 3LVBQDK 38 38 2904315 4042503 108577 168689846 296158542 130550 0 31000877 335704
GEN6 100000 500000 1999996 3LVBQDK 38 38 2896614 4032785 105319 168422517 296158208 134293 0 31000802 336184
GEN6 100000 500000 1999996 3LVBQDK 38 38 2885904 4010671 109634 169229998 296158732 123208 0 31000931 337702
GEN6 100000 500000 1999996 4LVBQDK 41 41 2962358 4140024 122441 180139004 315712530 129114 0 31887756 348685
GEN6 100000 500000 1999996 4LVBQDK 40 40 2961557 4146072 108468 176305728 315713557 129067 0 31887990 348457
GEN6 100000 500000 1999996 4LVBQDK 40 40 2956225 4136039 111887 176948227 315713370 128290 0 31887949 346782
GEN6 100000 500000 1999996 4LVBQDK 40 40 2955590 4123003 111568 176907704 315713809 128736 0 31888052 347011
GEN6 100000 500000 1999996 4LVBQDK 41 41 2951383 4124299 118265 179395786 315713582 128953 0 31888004 349795
GEN6 100000 500000 1999996 4LVBQDK 41 41 2954314 4131815 116347 178563972 315713863 125967 0 31888056 346936
GEN6 100000 500000 1999996 4LVBQDK 40 40 2948157 4122308 115627 177237048 315713625 128264 0 31888022 346821
GEN6 100000 500000 1999996 4LVBQDK 40 40 2948869 4121584 109872 176543350 315713757 123477 0 31888029 348035
GEN6 100000 500000 1999996 4LVBQDK 39 39 2949237 4119347 105662 175328060 315713424 124449 0 31887955 347253
GEN6 100000 500000 1999996 4LVBQDK 40 40 2945260 4115553 110698 176437046 315713947 118371 0 31888083 347725
GEN6 100000 500000 1999996 5LVBQDK 43 43 3079351 4255846 112371 190550356 346763837 125907 0 33163115 430333
GEN6 100000 500000 1999996 5LVBQDK 42 42 3083899 4276569 105707 188989351 346764866 127708 0 33163351 430741
