nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM3 100000 500000 1000 144984 100008 44976 1452 6LVBQDK 43 43 128407640 2907356 734780 89943 108614158 252138583 56628 0 29872629 212100
MEM3 100000 500000 1000 144878 100003 44875 1457 6LVBQDK 51 51 130778527 2924633 748937 160552 120667950 250437891 53697 0 29982651 213740
MEM3 100000 500000 1000 144859 100008 44851 1499 6LVBQDK 43 43 129602539 2907706 730908 91740 106258074 252541716 53870 0 29948692 205377
MEM3 100000 500000 1000 144998 100002 44996 1462 6LVBQDK 44 44 129189712 2930578 732711 94021 108342297 249351475 57372 0 30115418 207350
MEM3 100000 500000 1000 144983 100013 44970 1396 6LVBQDK 43 43 130444387 2967950 758624 88500 108554339 254770308 51556 0 29916724 217010
MEM3 100000 500000 1000 144735 100004 44731 1471 6LVBQDK 43 43 130162211 2904115 725803 86509 108331551 251005422 59384 0 30368161 220238
MEM3 100000 500000 1000 144883 100008 44875 1463 6LVBQDK 44 44 130796221 2929935 745621 91688 108159986 253051715 52411 397 29957118 208076
MEM3 100000 500000 1000 145013 100007 45006 1456 6LVBQDK 43 43 127869342 2883298 748306 92726 108236401 243127023 53854 0 30081661 231448
MEM3 100000 500000 1000 145022 145022 0 0 BINH 80 80 255211985 2819028 773821 73075 189574262 515636223 43344 0 82983160 1169635
MEM3 100000 500000 1000 145078 145078 0 0 BINH 80 80 255497115 2622632 713304 73024 188900941 513169454 43202 0 83178906 1163871
MEM3 100000 500000 1000 144933 144933 0 0 BINH 80 80 256662266 2620948 710500 74074 187573914 509558756 43216 0 82834267 1154411
MEM3 100000 500000 1000 144620 144620 0 0 BINH 80 80 254825581 2810486 761621 72815 188690446 511131843 44978 0 82979665 1159542
MEM3 100000 500000 1000 144882 144882 0 0 BINH 80 80 255810451 2799463 760121 74046 188496175 512062550 43382 0 83148496 1162221
MEM3 100000 500000 1000 144783 144783 0 0 BINH 79 79 256988728 2610236 704070 71565 187003359 507881790 41830 0 82596791 1190275
MEM3 100000 500000 1000 144811 144811 0 0 BINH 80 80 256072465 2811557 774615 72543 188128595 511907401 43934 0 82837205 1157090
MEM3 100000 500000 1000 144809 144809 0 0 BINH 79 79 257319241 2816974 760803 72885 186766833 506655312 43422 0 82494949 1149676
MEM3 100000 500000 1000 144871 144871 0 0 BINH 81 81 253957989 2805119 770428 90180 190329886 508493879 42147 0 82209167 1147902
MEM3 100000 500000 1000 144769 144769 0 0 BINH 80 80 254572369 2828339 767427 75171 184747347 501237865 42869 0 81897780 1168138
MEM3 100000 500000 1000 100000 100000 44752 0 FIBH 99 99 252663210 4539731 1313549 193921 241498153 386492666 162221 969 55545754 1487721
MEM3 100000 500000 1000 100000 100000 45041 0 FIBH 98 98 254537950 4551832 1313499 192631 239714529 387752990 149675 196 55551625 1490185
MEM3 100000 500000 1000 100000 100000 44690 0 FIBH 100 100 253122104 5214511 1658621 216532 247664312 391615050 164066 0 55754485 1494667
MEM3 100000 500000 1000 100000 100000 45000 0 FIBH 100 100 253205699 5132042 1620797 202811 248603018 391817633 158346 97 55771321 1567478
MEM3 100000 500000 1000 100000 100000 44561 0 FIBH 99 99 253631110 5074747 1501208 203030 243546458 378106854 167787 0 55764036 1553293
MEM3 100000 500000 1000 100000 100000 44798 0 FIBH 99 99 253688580 5045756 1505774 205656 243100983 374752969 165523 98 55111657 1558550
MEM3 100000 500000 1000 100000 100000 44659 0 FIBH 98 98 252371822 4798100 1404332 198219 243301831 383925895 158911 0 53122947 1537711
MEM3 100000 500000 1000 100000 100000 44625 0 FIBH 102 102 251237424 4553588 1316107 225672 244630165 368501643 153181 0 52256938 1487043
MEM3 100000 500000 1000 100000 100000 45102 0 FIBH 98 98 253445040 5038321 1509640 199489 242270341 390438515 157683 0 55667530 1492629
MEM3 100000 500000 1000 100000 100000 44379 0 FIBH 97 97 252383023 4545224 1320708 188034 237358476 387829668 155920 0 55596736 1478002
MEM4 100000 500000 10000 146972 146972 0 23774 1LVBQ 42 42 102660644 2069750 701143 109930 106500391 228770412 65850 305 43380926 284659
MEM4 100000 500000 10000 146484 146484 0 23250 1LVBQ 41 42 101982263 2028557 665570 103216 103773694 222849610 71574 0 42493630 278939
MEM4 100000 500000 10000 147098 147098 0 25456 1LVBQ 42 42 102264800 2018805 669699 104468 96898939 211028625 65601 0 42500555 272168
MEM4 100000 500000 10000 147115 147115 0 25661 1LVBQ 41 41 103868745 2074408 692693 103266 93896299 209308587 59550 0 42565232 271261
MEM4 100000 500000 10000 146924 146924 0 25731 1LVBQ 42 42 105136581 2043583 668492 101091 99798539 219764555 60127 0 43598259 279120
MEM4 100000 500000 10000 147019 147019 0 23328 1LVBQ 41 41 102131699 2023280 666695 101762 107031700 231463883 67078 0 43318079 283129
MEM4 100000 500000 10000 146700 146700 0 23944 1LVBQ 42 42 102224911 2052685 679796 105162 101487859 215969739 70289 0 42567462 273927
MEM4 100000 500000 10000 146736 146736 0 22489 1LVBQ 41 41 102190043 2062008 685087 103775 93456100 208340400 60382 0 42382537 268458
MEM4 100000 500000 10000 146713 146713 0 23446 1LVBQ 42 42 104561799 2061351 680371 115962 97552054 213961583 57211 0 42632424 270896
MEM4 100000 500000 10000 146633 146633 0 27565 1LVBQ 41 41 104962103 2042496 668830 97513 100012836 223854210 62399 0 43558440 282595
MEM4 100000 500000 10000 146789 146789 0 33559 2LVBQ 37 37 104326906 1714660 495920 75234 90711586 222923270 41565 0 42134132 193357
MEM4 100000 500000 10000 146942 146942 0 32996 2LVBQ 37 37 107486828 1709886 504106 74952 92459819 226113383 41912 0 42323409 195073
