nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298499 298499 0 0 298499 5LVBQ 96 96 365807162 1644391 173327 71222 241682789 770802486 8212 0 131190033 829912
NY 264346 733846 36946 298741 298741 0 0 298741 5LVBQ 99 99 369792851 1622336 185383 89907 242737686 752528642 9298 0 131173507 821615
NY 264346 733846 36946 299127 299127 0 0 299127 5LVBQ 101 101 378724370 1498144 166784 74970 253052378 787747204 6036 0 136093337 877778
NY 264346 733846 36946 298898 298898 0 0 298898 5LVBQ 100 100 373735689 1514889 182780 87292 245245274 765815560 7632 0 132798933 844632
NY 264346 733846 36946 299044 299044 0 0 299044 5LVBQ 100 100 376109059 1530934 166049 75395 248048971 776518711 6783 0 134943783 868182
NY 264346 733846 36946 298440 298440 0 0 298440 6LVBQ 106 106 397950921 1673288 181556 87831 264566163 824905339 9701 0 140440698 913597
NY 264346 733846 36946 298722 298722 0 0 298722 6LVBQ 106 106 401033431 1627757 160288 70237 263833231 833235811 7630 0 141936684 916802
NY 264346 733846 36946 298922 298922 0 0 298922 6LVBQ 105 105 400879584 1647904 159492 68465 263749538 832765296 7521 0 142064390 911492
NY 264346 733846 36946 299091 299091 0 0 299091 6LVBQ 107 107 401163642 1653846 186017 90556 263723214 823506435 8312 0 142460250 928898
NY 264346 733846 36946 299310 299310 0 0 299310 6LVBQ 109 109 407876005 1535717 164988 83901 268028114 839228074 6715 0 144393814 955297
NY 264346 733846 36946 298701 298701 0 0 298701 6LVBQ 107 107 399829181 1647861 196048 103834 265177805 819825985 9124 0 140975954 919232
NY 264346 733846 36946 298737 298737 0 0 298737 6LVBQ 107 107 400587974 1699672 191993 100472 263042022 817373088 9841 0 141406313 919444
NY 264346 733846 36946 298912 298912 0 0 298912 6LVBQ 108 108 405784216 1533320 184839 89833 266622689 829651807 7809 0 143457363 934411
NY 264346 733846 36946 299091 299091 0 0 299091 6LVBQ 109 109 407057547 1518918 178232 86666 269731164 839738839 7780 0 144402120 950439
NY 264346 733846 36946 299006 299006 0 0 299006 6LVBQ 109 109 408964475 1524520 165078 77255 268517623 840513590 6407 0 144788901 967386
NY 264346 733846 36946 299121 264346 34775 865680 0 1LVBQDK 48 48 139142085 2565335 223601 112946 125459887 282131575 9662 0 43402919 683217
NY 264346 733846 36946 299120 264346 34774 816767 0 1LVBQDK 45 45 141225617 2646970 197624 86690 111687575 266148149 8664 0 42491707 668777
NY 264346 733846 36946 299056 264346 34710 1174384 0 1LVBQDK 47 47 142215824 2514042 214797 102292 119460729 280439055 8226 0 43461361 666419
NY 264346 733846 36946 298841 264346 34495 721655 0 1LVBQDK 48 48 137276128 2639887 235893 117746 125296790 280900574 12330 0 43169316 691550
NY 264346 733846 36946 299077 264346 34731 1031259 0 1LVBQDK 48 48 141440972 2470248 223838 114156 123188100 280445099 8574 0 43086968 662420
NY 264346 733846 36946 298471 264346 34125 795432 0 1LVBQDK 47 47 137476391 2620809 225265 105890 120192230 275147110 11965 0 42918471 679896
NY 264346 733846 36946 298123 264346 33777 908951 0 1LVBQDK 46 46 137577873 2590390 205110 95474 116513207 275181297 10211 0 43240050 661713
NY 264346 733846 36946 298976 264346 34630 958202 0 1LVBQDK 48 48 140407624 2513524 225560 113956 125773394 285239039 10274 0 43568331 679500
NY 264346 733846 36946 299228 264346 34882 938731 0 1LVBQDK 48 48 139984206 2511860 223226 112897 120929265 275709626 9300 0 42782584 662208
NY 264346 733846 36946 298746 264346 34400 675473 0 1LVBQDK 47 47 134940789 2686609 216584 100597 114428251 265845430 10640 0 42015230 661491
NY 264346 733846 36946 264346 264346 34692 1075763 4399 2LVBQDK 55 55 170832160 2235636 198455 107962 138766264 333847716 8974 0 48338524 682510
NY 264346 733846 36946 264346 264346 34761 1337280 5472 2LVBQDK 53 53 178128661 2091706 179159 88928 134633532 339384376 7658 0 49394671 680078
NY 264346 733846 36946 264346 264346 33470 1420521 5818 2LVBQDK 52 52 178639884 2108925 163884 78208 134938458 349734470 7221 0 49289260 683758
NY 264346 733846 36946 264346 264346 34750 1429601 5889 2LVBQDK 53 53 179462232 2052236 178937 87779 134637457 338593889 7329 0 48958514 676285
NY 264346 733846 36946 264346 264346 34872 1221825 5012 2LVBQDK 53 53 177250868 2133867 180108 94935 134135936 333813981 7858 0 48616468 679058
NY 264346 733846 36946 264346 264346 34756 893196 3671 2LVBQDK 54 54 173404229 2485210 205646 105566 134013730 322014697 11197 0 47272642 675103
NY 264346 733846 36946 264346 264346 34704 987222 3997 2LVBQDK 54 54 174107042 2383758 204134 106648 133915603 323405372 10661 0 47273408 675040
NY 264346 733846 36946 264346 264346 34945 965370 3992 2LVBQDK 53 53 173433501 2412361 185967 92153 134459566 334236778 10131 0 48446849 685628
NY 264346 733846 36946 264346 264346 34644 1027923 4233 2LVBQDK 55 55 173495666 2281381 205055 109947 135017466 323655667 8524 0 47163279 671806
NY 264346 733846 36946 264346 264346 34371 862102 3549 2LVBQDK 54 54 172269283 2466951 195286 100273 133634063 325121113 10247 0 47660092 673751
NY 264346 733846 36946 264346 264346 34821 0 264346 3LVBQDK 69 69 251030415 2313561 188109 92286 179399657 488065111 11259 0 65521938 815206
NY 264346 733846 36946 264346 264346 34796 0 264346 3LVBQDK 70 70 252251491 2186970 197508 98742 179035625 483051803 9739 0 66546963 824852
NY 264346 733846 36946 264346 264346 35309 0 264346 3LVBQDK 69 69 249469992 2349895 175458 84605 179154524 492781467 10002 0 66027681 810686
NY 264346 733846 36946 264346 264346 35243 0 264346 3LVBQDK 69 69 250349773 2356644 182356 94675 178830158 490418189 10976 0 66334415 825253
NY 264346 733846 36946 264346 264346 34699 0 264346 3LVBQDK 71 71 249867076 2407626 210419 110801 178889926 477878716 11453 0 65892882 823374
NY 264346 733846 36946 264346 264346 34593 0 264346 3LVBQDK 70 70 251050020 2264014 193988 100099 179061721 484390645 9242 0 66255880 829677
